id,zona,nombre,direccion,lat,lon,tipo,riesgo,mensaje,audio_hint,vibro_patron,radio_m,orden,hospitals
c68a9a8f,U6-MOBILIARIO URBANO,Punto U6-MOBILIARIO URBANO 3,calle 23/cra 24,7.073872,-73.1097362,U6-MOBILIARIO URBANO,medio,Atención: Acera que conecta cruce desde el parqueadero cc metro hacia entrada clínica Ardila Lule. Sigue con precaución.,—,corto,12,3,Clínica FOSCAL
1e3ecb72,U6-MOBILIARIO URBANO,Punto U6-MOBILIARIO URBANO 5,Calle 155A/Cra 23,7.127253,-73.1224623,U6-MOBILIARIO URBANO,medio,Atención: Esquina FCV. Sigue con precaución.,—,corto,12,5,Hospital Universitario de Santander (HUS)
b066ba34,U6-MOBILIARIO URBANO,Punto U6-MOBILIARIO URBANO 7,Transversal 154/ Cra 24,7.0728263,-73.1126099,U6-MOBILIARIO URBANO,medio,Atención: Esquina Centro médico Carlos Ardila Lule. Sigue con precaución.,—,corto,12,7,Clínica FOSCAL
bc5bf822,U6-MOBILIARIO URBANO,Punto U6-MOBILIARIO URBANO 7,Transversal 154 #150,7.0749325,-73.1097166,U6-MOBILIARIO URBANO,medio,Atención: Centro Médico Ardila Lule droguerías. Sigue con precaución.,—,corto,12,7,Clínica FOSCAL
cd5ec8e7,U6-MOBILIARIO URBANO,Punto U6-MOBILIARIO URBANO 8,Cra 23/Transversal 154,7.0740509,-73.1105426,U6-MOBILIARIO URBANO,medio,Atención: Curva cc metro Cra 23 hacia la transversal 154. Sigue con precaución.,—,corto,12,8,Clínica FOSCAL
79a65a3f,U6-MOBILIARIO URBANO,Punto U6-MOBILIARIO URBANO 9,Calle 31/Cra 26,7.1247491,-73.1197103,U6-MOBILIARIO URBANO,medio,Atención: Tramo con entrada a cc metro. Sigue con precaución.,—,corto,12,9,Hospital Universitario de Santander (HUS)
938c96d9,U8-OBRA ESPACIO PUBLICO,Punto U8-OBRA ESPACIO PUBLICO 4,cra 24/cra23,7.1291679,-73.1220661,U8-OBRA ESPACIO PUBLICO,medio,Atención: Clínica Ardila Lule obra de fachada. Sigue con precaución.,—,corto,12,4,Hospital Universitario de Santander (HUS)
056cb3b1,U8-OBRA ESPACIO PUBLICO,Punto U8-OBRA ESPACIO PUBLICO 6,Cra 23/Calle 31,7.1239532,-73.1214767,U8-OBRA ESPACIO PUBLICO,medio,Atención: Construccion enfrente de la clínica Foscal. Sigue con precaución.,—,corto,12,6,Hospital Universitario de Santander (HUS)
ffcd805f,FOSCA/FCV,Cruce esquina cc metro (común al tramo 9),Calle 31 con Avenida Florida,7.07475,-73.108528,CRUCE,medio,Precaucion vado con pendiente mayor al 12%,,,12,1,CENTRO MEDICO ARDILA LULE CLINICA FOSCAL FCV
"a04e5d7d,FOSCA/FCV,Andén de cc metro en autopista,Carrera 26/Calle 23,7.074361,-73.108528,VIA CIRCULACION,medio,""Ancho suficiente para transito seguro, señal podotactil"",,,12,2,CENTRO MEDICO ARDILA LULE CLINICA FOSCAL FCV"
429fbb90,FOSCA/FCV,Rampa acceso por calle 23A (Molinos) a Puente Peatonal CAÑAVERAL (EL BOSQUE),Calle 23A / Cra 27,7.074826,-73.107796,RAMPA,medio,Precaucion rampa con pendiente mayor al 12% en algunos tramos,,,12,3,CENTRO MEDICO ARDILA LULE CLINICA FOSCAL FCV
508a97e3,FOSCA/FCV,Cruce peatonal del puente sobre Autopista / CC METRO,Avenida Floridablanca entre 21 y 23,7.074708,-73.108123,PASO ELEVADO,bajo,Ancho suficiente para transito seguro,,,12,4,CENTRO MEDICO ARDILA LULE CLINICA FOSCAL FCV
ca727ab6,FOSCA/FCV,Rampa acceso por estacion del Metrolinea a Puente Peatonal CAÑAVERAL (EL BOSQUE) Carril Sur_Norte,Avenida Floridablanca,7.07484,-73.108131,RAMPA,medio,Precaucion rampa con pendiente mayor al 12% en algunos tramos,,,12,5,CENTRO MEDICO ARDILA LULE CLINICA FOSCAL FCV
dea54980,FOSCA/FCV,Rampa acceso por estacion del Metrolinea a Puente Peatonal CAÑAVERAL (EL BOSQUE) Carril Norte-Sur,Avenida Floridablanca,7.074814,-73.108296,RAMPA,medio,Precaucion rampa con pendiente mayor al 12% en algunos tramos,,,12,6,CENTRO MEDICO ARDILA LULE CLINICA FOSCAL FCV
c8510352,FOSCA/FCV,Rampa acceso por c.c. METRO a Puente Peatonal CAÑAVERAL (EL BOSQUE),Avenidad Floridablanca / cc METRO,7.074429,-73.108463,RAMPA,medio,Precaucion rampa con pendiente mayor al 12% en algunos tramos,,,12,7,CENTRO MEDICO ARDILA LULE CLINICA FOSCAL FCV
"1b709a23,FOSCA/FCV,Cruce esquina de cc metro hacia ardila lule (común al tramo 2),Calle 23 con Avenida Floridablanca,7.074056,-73.108389,CRUCE,medio,""Ancho y pendientes seguras, precaucion bolar ubicado en la parte central del vado"",,,12,8,CENTRO MEDICO ARDILA LULE CLINICA FOSCAL FCV"
"876b0749,FOSCA/FCV,Cruce sobre calle 23 que conecta ccMetro con cra 25,Cra 23/ esquina calle 25,7.073941,-73.108689,CRUCE,alto,""Precaucon, no hay vado para cruzar sobre cra 23"",,,12,9,CENTRO MEDICO ARDILA LULE CLINICA FOSCAL FCV"
70f17bfc,FOSCA/FCV,Tramo de andén desde esq CC METRO sobre la autopista hasta cruce peatonal hacia CM ARDILA LULE,Calle 23 entre Avenida Floridablanca y cruce peatonal hacia CM ARDILA LULE,7.074022,-73.108785,VIA CIRCULACION,bajo,Ancho suficiente para transito seguro,,,12,10,CENTRO MEDICO ARDILA LULE CLINICA FOSCAL FCV
"ecf86e9a,FOSCA/FCV,Cruce entrada Vehicular CC METRO,Entrada Vehicular sobre Calle 26,7.074029,-73.108979,CRUCE,alto,""Precaucion, bolardos dificultan el paso"",,,12,11,CENTRO MEDICO ARDILA LULE CLINICA FOSCAL FCV"
7e16650d,FOSCA/FCV,Cruce sobre Cra 26 salida parqueadero del CC metro,Cra 26 salida parqueadero CC METRO,7.074,-73.109083,CRUCE,alto,Vendedores ambulantes sobre el cruce,,,12,12,CENTRO MEDICO ARDILA LULE CLINICA FOSCAL FCV
41dd1158,FOSCA/FCV,Cruce sobre Cra 26 hasta separador con cra 23,Cra 26/ entre calles 24 y 25,7.073949,-73.109075,CRUCE,alto,Vendedores ambulantes sobre el cruce,,,12,13,CENTRO MEDICO ARDILA LULE CLINICA FOSCAL FCV
22f2581d,FOSCA/FCV,Rampa inicio cruce peatonal del CC METRO hacia CM ARDILA LULE,Cra 23/ entre calles 24 y 25,7.073938,-73.109074,RAMPA,medio,,,,12,14,CENTRO MEDICO ARDILA LULE CLINICA FOSCAL FCV
805dee7f,FOSCA/FCV,Cruce sobre cra 23 entre calles 24 y 25,Cra 23/ entre calles 24 y 25,7.073939,-73.109197,CRUCE,alto,Vendedores ambulantes sobre el cruce,,,12,15,CENTRO MEDICO ARDILA LULE CLINICA FOSCAL FCV
"c4b0891f,FOSCA/FCV,Cruce sobre Cra 23 anden conj el bosque,Cra 23/ entre calles 24 y 25,7.073889,-73.109194,CRUCE,alto,""Cruce no demarcado, ubicado sobre franja vegetal"",,,12,16,CENTRO MEDICO ARDILA LULE CLINICA FOSCAL FCV"
c28adf5f,FOSCA/FCV,Anden desde cruce CC METRO hasta entrada CM ARDILA LULE,Cra 23/ entre calles 24 y 25,7.073961,-73.109358,VIA CIRCULACION,bajo,,,,12,17,CENTRO MEDICO ARDILA LULE
